year,round,constructorId,constructor,n_entries_season,n_mech_season,reliability_mean,reliability_sigma
2021,1,131,Mercedes,2,0,0.8571428571428572,0.09035079029052512
2021,1,210,Haas F1 Team,2,0,0.8571428571428572,0.09035079029052512
2021,1,213,AlphaTauri,2,0,0.8571428571428572,0.09035079029052512
2021,1,214,Alpine F1 Team,2,1,0.7857142857142857,0.10594569267279517
2021,2,1,McLaren,4,0,0.875,0.08021111848996848
2021,2,3,Williams,4,0,0.875,0.08021111848996848
2021,2,6,Ferrari,4,0,0.875,0.08021111848996848
2021,2,9,Red Bull,4,0,0.875,0.08021111848996848
2021,2,51,Alfa Romeo,4,0,0.875,0.08021111848996848
2021,2,117,Aston Martin,4,1,0.8125,0.09466465580576273
2021,2,131,Mercedes,4,0,0.875,0.08021111848996848
2021,2,210,Haas F1 Team,4,0,0.875,0.08021111848996848
2021,2,213,AlphaTauri,4,0,0.875,0.08021111848996848
2021,2,214,Alpine F1 Team,4,1,0.8125,0.09466465580576273
2021,3,1,McLaren,6,0,0.8888888888888888,0.07209840939145001
2021,3,3,Williams,6,0,0.8888888888888888,0.07209840939145001
2021,3,6,Ferrari,6,0,0.8888888888888888,0.07209840939145001
2021,3,9,Red Bull,6,0,0.8888888888888888,0.07209840939145001
2021,3,51,Alfa Romeo,6,0,0.8888888888888888,0.07209840939145001
2021,3,117,Aston Martin,6,1,0.8333333333333334,0.08549819600709618
2021,3,131,Mercedes,6,0,0.8888888888888888,0.07209840939145001
2021,3,210,Haas F1 Team,6,0,0.8888888888888888,0.07209840939145001
2021,3,213,AlphaTauri,6,0,0.8888888888888888,0.07209840939145001
2021,3,214,Alpine F1 Team,6,1,0.8333333333333334,0.08549819600709618
2021,4,1,McLaren,8,0,0.9,0.06546536707079771
2021,4,3,Williams,8,0,0.9,0.06546536707079771
2021,4,6,Ferrari,8,0,0.9,0.06546536707079771
2021,4,9,Red Bull,8,0,0.9,0.06546536707079771
2021,4,51,Alfa Romeo,8,0,0.9,0.06546536707079771
2021,4,117,Aston Martin,8,1,0.85,0.07791937224739796
2021,4,131,Mercedes,8,0,0.9,0.06546536707079771
2021,4,210,Haas F1 Team,8,0,0.9,0.06546536707079771
2021,4,213,AlphaTauri,8,1,0.85,0.07791937224739796
2021,4,214,Alpine F1 Team,8,1,0.85,0.07791937224739796
2021,5,1,McLaren,10,0,0.9090909090909091,0.059943679399617006
2021,5,3,Williams,10,0,0.9090909090909091,0.059943679399617006
2021,5,6,Ferrari,10,1,0.8636363636363636,0.07155678652265483
2021,5,9,Red Bull,10,0,0.9090909090909091,0.059943679399617006
2021,5,51,Alfa Romeo,10,0,0.9090909090909091,0.059943679399617006
2021,5,117,Aston Martin,10,1,0.8636363636363636,0.07155678652265483
2021,5,131,Mercedes,10,1,0.8636363636363636,0.07155678652265483
2021,5,210,Haas F1 Team,10,0,0.9090909090909091,0.059943679399617006
2021,5,213,AlphaTauri,10,1,0.8636363636363636,0.07155678652265483
2021,5,214,Alpine F1 Team,10,1,0.8636363636363636,0.07155678652265483
2021,6,1,McLaren,12,0,0.9166666666666666,0.055277079839256664
2021,6,3,Williams,12,1,0.875,0.06614378277661477
2021,6,6,Ferrari,12,1,0.875,0.06614378277661477
2021,6,9,Red Bull,12,0,0.9166666666666666,0.055277079839256664
2021,6,51,Alfa Romeo,12,0,0.9166666666666666,0.055277079839256664
2021,6,117,Aston Martin,12,1,0.875,0.06614378277661477
2021,6,131,Mercedes,12,1,0.875,0.06614378277661477
2021,6,210,Haas F1 Team,12,0,0.9166666666666666,0.055277079839256664
2021,6,213,AlphaTauri,12,1,0.875,0.06614378277661477
2021,6,214,Alpine F1 Team,12,2,0.8333333333333334,0.07453559924999299
2021,7,1,McLaren,14,0,0.9230769230769231,0.05128205128205128
2021,7,3,Williams,14,1,0.8846153846153846,0.06148501952965025
2021,7,6,Ferrari,14,1,0.8846153846153846,0.06148501952965025
2021,7,9,Red Bull,14,0,0.9230769230769231,0.05128205128205128
2021,7,51,Alfa Romeo,14,0,0.9230769230769231,0.05128205128205128
2021,7,117,Aston Martin,14,1,0.8846153846153846,0.06148501952965025
2021,7,131,Mercedes,14,1,0.8846153846153846,0.06148501952965025
2021,7,210,Haas F1 Team,14,0,0.9230769230769231,0.05128205128205128
2021,7,213,AlphaTauri,14,1,0.8846153846153846,0.06148501952965025
2021,7,214,Alpine F1 Team,14,2,0.8461538461538461,0.06943622568064924
2021,8,1,McLaren,16,0,0.9285714285714286,0.04782386167228473
2021,8,3,Williams,16,2,0.8571428571428572,0.06497983230676314
2021,8,6,Ferrari,16,1,0.8928571428571429,0.05743460008059615
2021,8,9,Red Bull,16,0,0.9285714285714286,0.04782386167228473
2021,8,51,Alfa Romeo,16,0,0.9285714285714286,0.04782386167228473
2021,8,117,Aston Martin,16,1,0.8928571428571429,0.05743460008059615
2021,8,131,Mercedes,16,1,0.8928571428571429,0.05743460008059615
2021,8,210,Haas F1 Team,16,0,0.9285714285714286,0.04782386167228473
2021,8,213,AlphaTauri,16,1,0.8928571428571429,0.05743460008059615
2021,8,214,Alpine F1 Team,16,2,0.8571428571428572,0.06497983230676314
2021,9,1,McLaren,18,0,0.9333333333333333,0.04480143366881647
2021,9,3,Williams,18,2,0.8666666666666667,0.06105406265195007
2021,9,6,Ferrari,18,1,0.9,0.05388159060803247
2021,9,9,Red Bull,18,0,0.9333333333333333,0.04480143366881647
2021,9,51,Alfa Romeo,18,0,0.9333333333333333,0.04480143366881647
2021,9,117,Aston Martin,18,1,0.9,0.05388159060803247
2021,9,131,Mercedes,18,1,0.9,0.05388159060803247
2021,9,210,Haas F1 Team,18,0,0.9333333333333333,0.04480143366881647
2021,9,213,AlphaTauri,18,1,0.9,0.05388159060803247
2021,9,214,Alpine F1 Team,18,2,0.8666666666666667,0.06105406265195007
2021,10,1,McLaren,20,0,0.9375,0.04213749140395263
2021,10,3,Williams,20,2,0.875,0.057570773308979785
